question,label
How many items were bought in the afternoon (12 PM - 6 PM)?,1
How much was spent on furniture items in total?,1
What is the average price of all electronics items?,1
What item was purchased on 2023-10-01?,1
What are all the items bought in the kitchen category?,1
How many purchases were made in the automotive category?,1
What item was bought on 2023-10-13?,1
Find all items purchased on weekends (Saturday and Sunday).,1
What is the price of the new laptop?,0
What is the earliest purchase in the dataset?,1
Which category had the most items purchased in October?,1
What was the most expensive purchase in the health category?,1
How much was spent on all purchases made in October 2023?,1
What was purchased on 2023-09-05?,1
How many items were purchased in the decor category?,1
What was the total spent on the weekend trip and suitcase combined?,1
What was the least expensive electronics item?,1
How many purchases were made after 5 PM?,1
Which item purchased in September cost exactly 100 units?,1
"How many food items were bought after September 15th, 2023?",1
What is the price of the digital camera?,0
How many purchases were made in the furniture category?,1
What was bought for 85 units?,1
How much was spent on the tablet and the gaming console combined?,1
What was the most expensive item purchased in the travel category?,1
Find all purchases made in the morning (before 12 PM).,1
How many items were bought for less than 100 units?,1
What is the total amount spent on all items?,1
Which item in October was purchased for exactly 550 units?,1
What was the price of the new set of tires?,0
How many items were bought for more than 300 units?,1
What is the total number of purchases made in October 2023?,1
What item was bought for 110 units?,1
How much did the brand new watch cost?,0
What is the price of the pair of wireless earbuds?,0
What was the price of the book bought in October 2023?,1
How much did I spend on yoga?,0
Find all purchases related to fashion made in September 2023.,1
How much did I spend on clothing?,1
How much did I spend in 2023?,1
How much did I spend in 2020?,1
How much did I spend while hanging out?,0
"On average, how much do I spend daily?",1
What was the most expensive item in the electronics category?,1
How much did the leather jacket cost?,0
What is the total spent on items in the food category?,1
List all items purchased in the entertainment category.,1
"How many electronics items were purchased after September 15th, 2023?",1
Which purchase was made on 2023-09-21?,1
What is the price of the designer handbag?,0
How many purchases were made in the health category in October?,1
What was the price of the fancy dinner?,0
What was bought on 2023-10-11?,1
How many items were purchased in the travel category?,1
Which item was the cheapest?,1
How many items I bought in September 2023?,1
"Which category has the highest number of purchases on weekends, and what is the total amount spent?",1
Which categories have purchases made on weekends?,1
What percentage of total spending is attributed to electronics items?,1
Which category has the highest average price per item?,1
What is the least expensive item bought in the food category?,1
Which category had the highest increase in spending from September to October?,1
"What is the most expensive item I bought in the last month, and when did I buy it?",1
What is the total amount spent on entertainment?,1
What is the average price of items in the electronics category?,1
What is the total amount spent on fashion items?,1
How many purchases were made in the health category?,1
What is the average price of all items purchased?,1
What was the most expensive item bought in October 2023?,1
How many items cost more than $100?,1
What is the total amount spent on travel-related purchases?,1
How many items were bought in the electronics category?,1
Which item has the earliest purchase date?,1
How many purchases cost less than $50?,1
What was the most expensive purchase made?,1
Which category has the highest total spending?,1
What is the total amount spent on furniture items?,1
Which category has the most purchases?,1
What is the total amount spent on fashion items rounded to the nearest cent?,1
What is the most expensive fashion item bought?,1
"Which item has the earliest purchase date, and what category does it belong to?",1
What is the total number of purchases made between $50 and $100?,1
Which three categories have the highest total spending combined?,1
What is the distribution of purchases by month and category?,1
What is the average price difference between fashion and electronics categories?,
What is the average spending per transaction made on a Saturday?,1
"Which items were purchased in the last week, and what are their respective categories and prices?",1
What is the total amount spent on items purchased after 6 PM?,1
What are my categories?,1
What is the total amount spent on purchases made before 10 AM?,1
What is the range of prices for items in the health category?,1
"How many purchases were made after October 1, 2023?",1
Give me all purchases in 2023.,1
"What is the most frequent purchase day of the week, and how much was spent on that day in total?",1
How much did I spent last month?,1
What was my most expensive purchase of all time?,1
How much did I spent last year?,1
How much did I spent today?,1
How much money do I spend on the weekends?,1
How much money do I spend during non weekend days?,1
In which category I spend the biggest amount of money?,1
How much do I spend in the mornings?,1
How much do I spend in the evenings?,1
How much did I spend on yoga?,1
What was the most expensive item purchased in September?,1
How many items were bought in the 'electronics' category?,1
Which category has the highest total spending?,1
What is the average price of items in the 'fashion' category?,1
How many 'health' items were bought in total?,1
What is the price of the 'new desk chair' purchased on October 7th?,1
"How many 'electronics' items were bought after September 15th, 2023?",1
Which 'fashion' item was purchased for exactly $200?,1
What was the total spending on 'food' items in October?,1
How many items in the 'furniture' category were bought for more than $150?,1
Compare the total spending on 'electronics' and 'fashion' in September.,1
What is the difference in average price between 'gaming consoles' and 'laptops'?,1
Which category had a higher increase in spending from September to October: 'health' or 'food'?,1
How much did I spend on dining?,0
How much did the jacket cost?,0
How much did I spend on purses?,0
How much did the laptop cost?,0
In what category did you put the shoes?,0
How much did I spend for my wellbeing?,0
Tell me the amount I spent for my amusement.,0
What is the capital of France?,2
How do airplanes stay in the air?,2
Why do cats purr?,2
What is the chemical formula for water?,2
Who was the first person to walk on the moon?,2
How many continents are there on Earth?,2
Why do we dream when we sleep?,2
What is the speed of light?,2
What causes earthquakes?,2
What is the tallest mountain in the world?,2
How do vaccines work?,2
Why is the sky blue?,2
What is the meaning of life?,2
How does photosynthesis occur in plants?,2
What are the three laws of motion?,2
"Who wrote the play ""Romeo and Juliet""?",2
How do computers store information?,2
Why do we have seasons?,2
What is artificial intelligence?,2
How do submarines dive and resurface?,2
What are black holes?,2
Why does ice float on water?,2
How are rainbows formed?,2
What is the periodic table?,2
Why do humans have fingerprints?,2
How does electricity work?,2
What are quantum computers?,2
Why do we yawn?,2
What is the human genome?,2
How does gravity work?,2
What is the total expenditure on fashion items?,1
How many purchases were made in the health category?,1
What is the highest cost item in electronics?,1
What is the average price for food-related expenses?,1
Which entertainment purchase had the lowest price?,1
How many furniture items were acquired?,1
What is the cumulative amount spent on travel?,1
Which kitchen-related item had the highest price?,1
What is the most expensive piece of decor?,1
How many purchases involved electronic devices?,1
What is the total amount spent on shoes?,1
Which travel expense was the least expensive?,1
What is the total cost of health-related services?,1
What is the average price for items in the fashion category?,1
How many purchases were made for gaming equipment?,1
What is the total expenditure on automotive products?,1
Which item from the decor category was the most affordable?,1
How much was spent on membership services?,0
What is the combined total for all electronics purchases?,1
Which fashion item had the highest price tag?,1
How many items were bought for entertainment purposes?,1
What is the total expenditure on leather coats?,0
How many purchases were made in the fitness subscription category?,0
What is the highest cost item in the latest timepieces?,0
What is the average price for upscale meal expenses?,0
Which show pass had the lowest price?,0
How many recent bookcases were acquired?,0
What is the cumulative amount spent on short getaways?,0
Which culinary blade had the highest price?,0
What is the most expensive piece of decorative artwork?,0
How many purchases involved video game systems?,0
What is the total amount spent on fresh footwear?,0
Which short getaway was the least expensive?,0
What is the total cost of relaxation treatments?,0
What is the average price for items in the luxury purse category?,0
How many purchases were made for tabletop games?,0
What is the total expenditure on replacement wheels?,0
Which item from the indoor greenery category was the most affordable?,0
How much was spent on beauty regimens?,0
What is the combined total for all electronic cameras?,0
Which leather coat had the highest price tag?,0
How many items were bought for pleasant meals with companions?,0
What is the total cost of recent athletic shoes?,0
How many purchases were made in the audio headset category?,0
What is the highest price for an upgraded notebook?,0
What is the average expense for a fresh wine bottle?,0
Which mobile enhancement had the lowest price?,0
How many modern office chairs were acquired?,0
What is the cumulative amount spent on pleasant meals?,0
Which relaxation treatment had the highest cost?,0
What is the most expensive electronic camera?,0
How many purchases involved touchscreen devices?,0
What is the total expenditure on beauty products?,0
Which tabletop game was the least expensive?,0
What is the average price for luxury purses?,0
How many items were bought for fitness activities?,0
What is the total cost of recent indoor greenery purchases?,0
Which upscale meal had the highest price tag?,0
How much was spent on culinary tools?,0
What is the combined total for all fresh footwear purchases?,0
Which show pass had the highest demand?,0
How many purchases involved decorative artwork?,0
What is the average expenditure on travel bags?,0
What are the main benefits of regular exercise?,2
How does climate change affect global weather patterns?,2
What are the characteristics of effective leadership?,2
How can mindfulness improve mental health?,2
What are the key factors in successful time management?,2
What is the significance of cultural diversity in society?,2
How does technology impact interpersonal communication?,2
What are the advantages of renewable energy sources?,2
How can one improve critical thinking skills?,2
What role does nutrition play in overall health?,2
How does literature influence societal values?,2
What are the effects of stress on the human body?,2
How can communities promote sustainability?,2
What are the benefits of learning a second language?,2
How do art and creativity contribute to personal development?,2
What are the common causes of procrastination?,2
How can emotional intelligence enhance relationships?,2
What strategies can be used to foster innovation in the workplace?,2
How does education shape individual perspectives?,2
What is the importance of community service?,2
How can technology be used to improve education?,2
What is the total price of recently acquired fitness gear?,0
How many transactions were made in the sound accessory category?,0
What is the highest cost for a modern laptop?,0
What is the average spending on new bottles of vintage?,0
Which smartphone upgrade had the lowest cost?,0
How many ergonomic seating options were purchased?,0
What is the total amount spent on delightful dining experiences?,0
Which spa treatment was the priciest?,0
What is the highest price for a digital imaging device?,0
How many transactions involved smart devices?,0
What is the total investment in personal care items?,0
Which board game was purchased for the least amount?,0
What is the average cost of high-end bags?,0
How many items were bought for wellness routines?,0
What is the total expenditure on indoor plants?,0
Which gourmet meal was the most expensive?,0
How much was invested in kitchen utensils?,0
What is the overall cost for all newly bought footwear?,0
Which concert admission ticket sold the most?,0
How many purchases included artistic prints?,0
What is the average spending on luggage?,0
What is the total expenditure on items purchased in September?,1
How many purchases were made in the electronics category in October?,1
What is the most common category for purchases?,1
Which item had the highest price in the furniture category?,1
How much was spent on luxury items in total?,0
What is the total number of items bought for health-related purposes?,1
How many purchases were made during weekdays?,1
What is the total cost of items purchased on the last day of September?,1
What was the least expensive travel-related purchase?,1
Which category had the highest number of transactions?,1
How much did I spend on home decor?,0
What is the total spending for items categorized as entertainment?,1
How many items were bought that were priced under $50?,1
What is the average spending per transaction in the health category?,1
Which purchase in the kitchen category was the most expensive?,1
What was the price of the cheapest furniture item?,1
How many purchases involved gifts?,0
What is the average cost of all purchases made in October?,1
How many items were acquired for personal care?,0
Which category had the highest total spending in September?,1
What is the most expensive item bought in the health category?,1
How many items were bought in bulk?,1
What was the total spent on items purchased in the last month?,1
Which category saw the largest increase in purchases?,1
How much was spent on experiences versus physical items?,0
What is the total expenditure on items purchased on weekdays?,1
Which month had the highest spending overall?,1
How many purchases were made for leisure activities?,0
What is the average price of items bought for home improvement?,0
Which items were purchased on the same day as the highest transaction?,1
What was the most popular item in the electronics category?,1
How much did I spend on services compared to products?,1
What is the cumulative amount spent on fashion items across all months?,1
How many purchases were made for social events?,0
Which item was purchased the most frequently?,1
What was the price difference between the highest and lowest items in the travel category?,1
How many items were bought in the health and wellness category?,0
What is the average cost for items purchased in the last quarter?,1
Which month had the lowest number of transactions?,1
How much was spent on dining out in total?,0
What is the distribution of spending across different categories?,1
How many purchases were made for seasonal items?,0
What is the average spending for items purchased on Sundays?,1
Which category had the highest spending in the first half of the year?,1
How many items were purchased for educational purposes?,0
What was the total expenditure on promotional items?,2
How much was spent on luxury experiences?,0
What is the total number of purchases made in the last week?,1
Which purchases had the most significant price variation?,1
What is the most common price range for purchases?,1
How much did I spend on subscriptions?,0
What is the average price of seasonal items?,0
How many items were bought for gifting purposes?,0
What was the total spent on home essentials?,0
How many purchases involved discounts?,2
What is the average expenditure for items bought in pairs?,2
How many purchases were made after 8 PM?,1
What is the total amount spent on specialty items?0,
Which category had the least amount of spending?,1
How much was spent on self-care products?,0
What is the price range for items in the automotive category?,1
How many purchases were made for holiday celebrations?,0
What is the cumulative spending for items bought in the first half of the year?,1
How many items were purchased as part of a bundle?,2
What was the price difference between the highest and lowest food items?,1
How many transactions involved luxury brands?,0
What is the average spending on eco-friendly products?,0
How many purchases were made for home improvement projects?,0
What is the total spending on services versus goods?,0
Which month had the most significant decline in spending?,1
How many purchases were made that were not categorized?,1
What is the total amount spent on personal projects?,2
How many items were acquired for events or parties?,0
What is the average price for experiences compared to physical items?,0
How many purchases involved returning items?,2
What was the total expenditure on limited edition items?,0
How many transactions were made for online purchases?,2
What is the cumulative spending on essentials throughout the year?,2
How many purchases were made for cultural events?,0
What is the average spending on gifts for others?,0
How many items were bought that were later gifted?,2
What was the total cost of items purchased for leisure activities?,0
How many purchases involved seasonal discounts?,2
What is the total amount spent on travel-related experiences?,0
How many transactions were made for wellness services?,0
What is the average price of items bought for home decoration?,1
How many items were purchased for community events?,0
What is the total expenditure on gadgets and devices?,0
How many purchases were made for outdoor activities?,0
What is the total amount spent on subscriptions for the year?,1
How many items were bought for family members?,2
What is the average cost of all purchases made in the electronics category?,1
How many transactions were made for furniture upgrades?,0
What is the total spending on sports-related items?,0
How many purchases were made for entertainment in September?,1
What is the average expenditure on travel each month?,1
How many items were bought for charitable donations?,2
What is the total amount spent on professional services?,0
How many purchases were made in the educational category?,0
What is the total expenditure on home office supplies?,0
How many items were acquired through promotions or sales?,2
What is the price range for items in the fashion category?,1
How many purchases were made for self-improvement?,0
What is the cumulative spending on health and wellness products?,0
How many transactions were made in the beauty category?,0
What was the total expenditure on items bought for family gatherings?,0
How many items were bought for personal enjoyment?,0
What is the average spending on luxury clothing?,0
How many purchases were made in the home and garden category?,0
What is the total spending on festive decorations?,0
How many items were bought for personal development?,0
What is the average cost of leisure items?,0
How many purchases were made for sporting events?,0
What is the total amount spent on technological advancements?,0
How many items were purchased that involved a membership?,0
What is the average price for gifts bought for friends?,0
How many purchases were made in the arts and crafts category?,0
What is the total amount spent on travel experiences compared to material items?,0
How many items were bought on holidays?,1
What is the most frequent category of purchases in the past 6 months?,1
How many items were bought in the clothing category in 2023?,1
What is the total amount spent on accessories in 2023?,1
Which item had the lowest price in the furniture category?,1
What was the most frequent purchase category in October 2023?,1
How many purchases were made in the travel category in the last quarter?,1
What is the average cost of items bought in the month?,1
What is the total amount spent on groceries in the last year?,1
How many purchases were made in the electronics category in the last 3 months?,1
What is the most expensive item bought in the entertainment category?,1
How many items were bought on weekends in 2023?,1
What is the average amount spent per purchase in the past 12 months?,1
How many purchases were made in the restaurant category during holidays?,1
What is the total amount spent on transportation in the past month?,1
Which month had the highest total spending in 2023?,1
How many items were bought in the home improvement category last year?,1
What is the total amount spent on personal care products in 2023?,1
How many times was an item purchased in the office supplies category?,1
What is the most frequent category of purchases made on weekdays?,1
How many purchases were made in the healthcare category in the last year?,1
What was the total spending in the month of November 2023?,1
What is the total amount spent on subscriptions in the last year?,1
How many items were bought in the sports equipment category in 2023?,1
What is the total amount spent on education-related purchases in the past 6 months?,1
How many purchases were made in the gifts category last year?,1
What is the total amount spent on luxury items in the last quarter?,1
How many items were bought in the pets category in 2023?,1
What is the most frequent purchase category during the winter season?,1
How many purchases were made in the home appliances category in the past year?,1
What is the total amount spent on memberships in 2023?,1
How many purchases were made in the tech accessories category in the past 6 months?,1
What is the most expensive item purchased in the past 12 months?,1
What is the total amount spent on groceries?,0
How many purchases were made in the electronics category?,1
What is the most expensive item bought in the entertainment category?,1
How many items were bought on weekends?,1
What is the average amount spent per purchase?,1
How many purchases were made in the restaurant category during holidays?,1
What is the total amount spent on transportation?,0
Which category had the highest total spending?,1
How many items were bought in the home improvement category?,0
What is the total amount spent on personal care products?,0
How many times was an item purchased in the office supplies category?,2
What is the most frequent category of purchases made on weekdays?,1
How many purchases were made in the healthcare category?,0
What is the total amount spent on subscriptions?,0
How many items were bought in the sports equipment category?,0
What is the total amount spent on education-related purchases?,0
How many purchases were made in the gifts category?,0
What is the total amount spent on luxury items?,0
How many items were bought in the pets category?,0
What is the most frequent purchase category during the winter season?,1
How many purchases were made in the home appliances category?,1
What is the total amount spent on memberships?,0
How many purchases were made in the tech accessories category?,0
What is the most expensive item purchased?,1
How many items were bought during the summer season?,1
What is the most frequent purchase category?,1
What is the total amount spent on recreational activities?,0
How many purchases were made in the vehicle maintenance category?,0
What is the average cost of items in the beauty category?,0
How many items were bought in the travel category?,1
How many items were bought in the electronics category last month?,1
What is the total amount spent on groceries this year?,1
How many purchases were made in the entertainment category in the last 6 months?,1
What is the total amount spent on dining out in the past 3 months?,1
What was the most expensive purchase made this year?,1
How many items were bought in the clothing category last year?,1
What is the total amount spent on travel in the last 2 years?,1
How many times was an item purchased in the sports category in the past 12 months?,1
What is the average amount spent on electronics in the last 6 months?,1
How many purchases were made in the food and beverages category last week?,1
What is the total amount spent on home renovation this year?,1
How many purchases were made during the Black Friday sales?,1
What is the most frequent purchase category in the past 6 months?,1
How many items were bought in the vehicle maintenance category this quarter?,1
What is the total amount spent on entertainment this year?,1
How many purchases were made in the furniture category in the past 3 months?,1
What is the most expensive item purchased in the health and fitness category?,1
How many purchases were made in the dining category in the last 2 weeks?,1
What is the total amount spent on subscriptions last year?,1
How many items were bought during the winter holidays?,1
What is the average cost of purchases in the personal care category?,0
How many times was an item purchased in the office supplies category this year?,1
What is the most frequent purchase category in the last 3 months?,1
How many purchases were made in the technology category in the past month?,1
What is the total amount spent on outdoor equipment last year?,1
How many items were bought in the grocery category in the past 12 months?,1
What is the total amount spent on luxury items this quarter?,1
How many purchases were made in the pet care category last year?,1
What is the most frequent purchase category in the spring season?,1
How many items were bought in the home appliances category this month?,1
What is the total amount spent on fitness equipment in the last 6 months?,1
How many times was an item purchased in the travel category last month?,1
What is the most expensive item purchased during the holiday season?,1
How many purchases were made in the hobby supplies category this year?,1
What is the total amount spent on books and education-related purchases last year?,1
How many items were bought in the holiday shopping season?,1
What is the average amount spent on restaurant dining in the past 2 months?,1
How many purchases were made in the clothing and apparel category this quarter?,1
What is the total amount spent on household essentials this year?,1
How many times was an item purchased in the kitchenware category in the last 3 months?,1
What is the total amount spent on leisure activities this summer?,1
How many items were bought during the spring sales this year?,1
What is the most frequent purchase category in the last 12 months?,1
How many purchases were made in the cosmetics category last year?
What is the total amount spent on home decor in the past 6 months?,1
How many times was an item purchased in the jewelry category this year?,1
What is the most expensive item purchased in the home improvement category last month?,1
How many purchases were made in the personal care category this season?,1
What is the average cost of items in the technology accessories cate50gory?,0
How many items were bought during the fall sales season this year?,1
How many planets are in the solar system?,2
What is the capital of Iceland?,2
How many types of penguins exist in the world?,2
What’s the fastest land animal?,2
How long does it take for light to reach Earth from the Sun?,2
Who painted the Mona Lisa?,2
What’s the highest mountain on Earth?,2
How many bones are in the human body?,2
What’s the largest ocean on Earth?,2
Who invented the telephone?,2
How many countries are there in Africa?,2
What’s the chemical symbol for gold?,2
Who wrote Pride and Prejudice?,2
What is the most spoken language in the world?,2
How long is a marathon?,2
What’s the smallest country in the world by land area?,2
How many states are in the United States?,2
What year did the Titanic sink?,2
Who was the first person to walk on the moon?,2
What’s the boiling point of water in Celsius?,2
How many hearts does an octopus have?,2
What’s the tallest building in the world?,2
Who is known as the father of computers?,2
What’s the deepest point in the ocean?,2
How many days are in a leap year?,2
What’s the largest mammal on Earth?,2
Who developed the theory of relativity?,2
How many colors are in a rainbow?,2
What’s the currency of Japan?,2
Who was the first female Prime Minister of the UK?,2
What is the square root of 144?,2
How many moons does Mars have?,2
Who is the author of The Catcher in the Rye?,2
What’s the most populous city in the world?,2
How many letters are in the English alphabet?,2
What’s the longest river in the world?,2
What year did World War II end?,2
Who painted the Sistine Chapel ceiling?,2
How many elements are in the periodic table?,2
What’s the speed of sound in air?,2
What is the national animal of Canada?,2
Who directed the movie Inception?,2
What’s the highest-grossing film of all time?,2
How many continents are there on Earth?,2
What’s the largest desert in the world?,2
Who discovered penicillin?,2
How many muscles are in the human body?,2
What’s the most visited museum in the world?,2
How long does it take for Earth to orbit the Sun?,2
Who invented the World Wide Web?,2